2014,64582,32688
1999,26896,68874
2008,50948,22281
2006,43998,42229
2007,44872,33852
2008,54404,32595
2005,30851,80231
2020,115309,3556
2006,54995,32525
2018,123999,22785
2001,12637,168553
2021,157248,128
2012,71566,12503
2020,135735,3570
2015,128799,20193
2017,139000,6512
2005,69995,10019
2014,83995,14235
2007,50465,33852
2018,163452,6843
2015,112683,4253
2002,23508,67194
2018,169552,8668
2008,55178,22281
2005,33026,80231
2014,75757,27543
2006,49173,42229
1996,211283,16159
2019,211363,6703
1989,207890,11400
1987,110340,59027
2015,132010,8770
2019,123912,13814
2007,50465,33852
2018,163452,6843
2015,112683,4253
2002,23508,67194
2018,169552,8668
2008,55178,22281
2005,33026,80231
2014,75757,27543
2006,49173,42229
1996,211283,16159
2019,211363,6703
1989,207890,11400
1987,110340,59027
2015,132010,8770
2019,123912,13814
2007,50465,33852
2018,163452,6843
2015,112683,4253
2002,23508,67194
2018,169552,8668
2008,55178,22281
2005,33026,80231
2014,75757,27543
2006,49173,42229
1996,211283,16159
2019,211363,6703
1989,207890,11400
1987,110340,59027
2015,132010,8770
2019,123912,13814
2007,50465,33852
2018,163452,6843
2015,112683,4253
2002,23508,67194
2018,169552,8668
2008,55178,22281
2005,33026,80231
2014,75757,27543
2006,49173,42229
1996,211283,16159
2019,211363,6703
1989,207890,11400
1987,110340,59027
2015,132010,8770
2019,123912,13814
2020,119950,3200
2020,130000,19043
2018,84998,20309
2020,132900,4336
2017,134500,8882
2014,88950,16875
2015,67500,31996
2017,78999,25432
2013,71991,44899
2017,118500,5797
2018,123900,2763
2019,122900,4512
2018,122500,10820
2006,69500,12080
2019,169900,1407
2017,95585,16404
2007,69900,48202
2020,132900,127
2020,119950,3200
2020,130000,19043
2018,84998,20309
2020,132900,4336
2017,134500,8882
2014,88950,16875
2015,67500,31996
2017,78999,25432
2013,71991,44899
2017,118500,5797
2018,123900,2763
2019,122900,4512
2018,122500,10820
2006,69500,12080
2019,169900,1407
2017,95585,16404
2007,69900,48202
2020,132900,127
2017,75500,50196
1987,102787,59027
2019,121457,13814
2011,104478,3669
2011,59990,28894
2007,44863,25864
2021,299990,86
2019,214726,3627
2008,71911,58103
2019,214726,3627
2018,157996,8668
2015,107988,4253
2011,68499,64450
1998,69997,68399
2017,87977,12520
2006,48899,28178
2014,83995,14235
1987,102787,59027
2006,43998,42229
2014,64582,32688
2019,134990,8870
2017,75500,50196
2001,24900,52684
2004,26900,62504
2007,44997,21289
2006,48997,41717
2007,82997,39659
1997,179997,27322
2014,83995,14235
1987,102787,59027
2005,30851,80231
2007,44872,33852
2008,50948,22281
2008,54404,32595
2009,59500,52500
2019,121457,13814
2017,152990,17558
2013,74995,11773
2019,144481,18673
2017,74999,38000
2002,20999,67194
2017,139000,6512
2015,129996,8770
2016,149996,13627
2017,84925,10230
2018,102788,10142
2019,204996,6703
2007,58000,27343
1998,119000,45000
2014,78980,44204
2019,143997,8376
2019,199877,1086
2003,49996,83489
1989,39999,131500
1989,55000,115000
1995,57000,79000
2014,83995,14235
2019,121457,13814
2006,54995,32525
2018,92799,14000
2014,82900,26518
2021,160350,Not Listed
1999,26896,68874
2019,214726,3627
1999,25000,55371
2021,235650,Not Listed
1988,No Price,78267
