2007,50603,33852
2018,163311,6843
2015,112565,4253
2002,23567,67194
2018,169751,8668
2005,33486,80231
2008,55211,22281
2014,75080,27543
2006,49512,42229
1989,207641,11400
2019,211127,6703
1996,209577,16159
1987,110145,59027
2015,131940,8770
2014,66086,32688
2007,50603,33852
2018,163311,6843
2015,112565,4253
2002,23567,67194
2018,169751,8668
2005,33486,80231
2008,55211,22281
2014,75080,27543
2006,49512,42229
1989,207641,11400
2019,211127,6703
1996,209577,16159
1987,110145,59027
2015,131940,8770
2014,66086,32688
2007,50603,33852
2018,163311,6843
2015,112565,4253
2002,23567,67194
2018,169751,8668
2005,33486,80231
2008,55211,22281
2014,75080,27543
2006,49512,42229
1989,207641,11400
2019,211127,6703
1996,209577,16159
1987,110145,59027
2015,131940,8770
2014,66086,32688
